source,entity,Domain,Conditions,Humidity,day
1,1388,Chicago,Partly Cloudy,,1
2,1388,Chicago,Partly Cloudy,54,1
3,1388,Chicago,Scattered Clouds,55,1
4,1388,Chicago,Scattered Clouds,56,1
5,1388,Chicago,Mostly Cloudy,59,1
6,1388,Chicago,Partly Cloudy,54,1
7,1388,Chicago,Partly Cloudy,42,1
14,1388,Chicago,Partly Cloudy,48,1
8,1388,Chicago,Mostly Cloudy,59,1
9,1388,Chicago,Partly Cloudy,54,1
15,1388,Chicago,Mostly Clear,55,1
10,1388,Chicago,clear sky,58,1
11,1388,Chicago,Mostly Cloudy,59,1
12,1388,Chicago,Partly Sunny,54,1
13,1388,Chicago,Partly Cloudy,55,1
1,1393,Chicago,Partly Cloudy,,1
2,1393,Chicago,Partly Cloudy,63,1
3,1393,Chicago,Mostly Cloudy,66,1
4,1393,Chicago,Mostly Cloudy,64,1
5,1393,Chicago,Intermittent Clouds,62,1
6,1393,Chicago,Partly Cloudy,63,1
7,1393,Chicago,Partly Cloudy,53,1
14,1393,Chicago,Partly Cloudy,56,1
8,1393,Chicago,Intermittent Clouds,62,1
9,1393,Chicago,Mostly Cloudy,68,1
15,1393,Chicago,Mostly Cloudy,65,1
10,1393,Chicago,clear sky,62,1
11,1393,Chicago,Clouds And Sun,62,1
12,1393,Chicago,Partly Sunny,62,1
13,1393,Chicago,Mostly Cloudy,66,1
1,1403,Chicago,Cloudy,,1
2,1403,Chicago,Overcast,73,1
3,1403,Chicago,Overcast,74,1
4,1403,Chicago,Overcast,70,1
5,1403,Chicago,Cloudy,74,1
6,1403,Chicago,Overcast,73,1
7,1403,Chicago,Mostly Cloudy,71,1
14,1403,Chicago,Mostly Cloudy,62,1
8,1403,Chicago,Cloudy,74,1
9,1403,Chicago,Cloudy,73,1
15,1403,Chicago,Cloudy,74,1
10,1403,Chicago,mostly cloudy,68,1
11,1403,Chicago,Cloudy,74,1
12,1403,Chicago,Cloudy,74,1
13,1403,Chicago,Overcast,74,1
1,1406,Chicago,Mostly Cloudy,,1
2,1406,Chicago,Mostly Cloudy,73,1
3,1406,Chicago,Mostly Cloudy,71,1
4,1406,Chicago,Mostly Cloudy,71,1
5,1406,Chicago,Intermittent Clouds,76,1
6,1406,Chicago,Mostly Cloudy,73,1
7,1406,Chicago,Mostly Cloudy,63,1
14,1406,Chicago,Mostly Cloudy,66,1
8,1406,Chicago,Intermittent Clouds,76,1
9,1406,Chicago,Mostly Cloudy,73,1
15,1406,Chicago,Mostly Cloudy,71,1
10,1406,Chicago,mostly cloudy,73,1
11,1406,Chicago,Some Clouds,76,1
12,1406,Chicago,Cloudy,71,1
13,1406,Chicago,Mostly Cloudy,71,1
1,1411,Chicago,Mostly Cloudy,,1
2,1411,Chicago,Mostly Cloudy,79,1
3,1411,Chicago,Mostly Cloudy,78,1
4,1411,Chicago,Mostly Cloudy,74,1
5,1411,Chicago,Mostly Cloudy,80,1
6,1411,Chicago,Mostly Cloudy,79,1
7,1411,Chicago,Mostly Cloudy,76,1
14,1411,Chicago,Mostly Cloudy,68,1
8,1411,Chicago,Cloudy,84,1
9,1411,Chicago,Mostly Cloudy,79,1
15,1411,Chicago,Mostly Cloudy,77,1
10,1411,Chicago,mostly cloudy,73,1
11,1411,Chicago,Mostly Cloudy,80,1
12,1411,Chicago,Cloudy,77,1
13,1411,Chicago,Mostly Cloudy,77,1
1,1416,Chicago,Partly Cloudy,,1
2,1416,Chicago,Partly Cloudy,79,1
3,1416,Chicago,Partly Cloudy,71,1
4,1416,Chicago,Partly Cloudy,68,1
5,1416,Chicago,Mostly Sunny,80,1
6,1416,Chicago,Partly Cloudy,73,1
7,1416,Chicago,Partly Cloudy,71,1
14,1416,Chicago,Partly Cloudy,76,1
8,1416,Chicago,Mostly Sunny,80,1
9,1416,Chicago,Mostly Sunny,79,1
15,1416,Chicago,Few Clouds,71,1
10,1416,Chicago,clear sky,79,1
11,1416,Chicago,Mostly Sunny,80,1
12,1416,Chicago,Partly Sunny,80,1
13,1416,Chicago,A Few Clouds,71,1
1,1472,Chicago,Partly Cloudy,,1
2,1472,Chicago,Partly Cloudy,61,1
3,1472,Chicago,Partly Cloudy,61,1
4,1472,Chicago,Partly Cloudy,53,1
5,1472,Chicago,Partly Sunny,63,1
6,1472,Chicago,Partly Cloudy,61,1
7,1472,Chicago,Partly Cloudy,50,1
14,1472,Chicago,Partly Cloudy,61,1
8,1472,Chicago,Partly Sunny,63,1
9,1472,Chicago,Mostly Sunny,61,1
15,1472,Chicago,Few Clouds,61,1
10,1472,Chicago,clear sky,61,1
11,1472,Chicago,Partly Sunny,63,1
12,1472,Chicago,Partly Sunny,60,1
13,1472,Chicago,Partly Cloudy,58,1
1,1472,Chicago,Partly Cloudy,,1
2,1472,Chicago,Partly Cloudy,61,1
3,1472,Chicago,Scattered Clouds,58,1
4,1472,Chicago,Scattered Clouds,51,1
5,1472,Chicago,Partly Sunny,60,1
1,2010,Dallas,Cloudy,,1
2,2010,Dallas,Overcast,75,1
3,2010,Dallas,Overcast,76,1
4,2010,Dallas,Overcast,76,1
5,2010,Dallas,Cloudy,80,1
6,2010,Dallas,Overcast,78,1
7,2010,Dallas,Cloudy,73,1
14,2010,Dallas,Cloudy,75,1
8,2010,Dallas,Cloudy,75,1
9,2010,Dallas,Weather WarningsCloudy,80,1
15,2010,Dallas,Cloudy,75,1
10,2010,Dallas,mostly cloudy,74,1
11,2010,Dallas,Light Snow,78,1
12,2010,Dallas,Cloudy,75,1
13,2010,Dallas,Overcast,76,1
1,2014,Dallas,Cloudy,,1
2,2014,Dallas,Overcast,80,1
3,2014,Dallas,Overcast,75,1
4,2014,Dallas,Overcast,77,1
5,2014,Dallas,Cloudy,74,1
6,2014,Dallas,Overcast,77,1
7,2014,Dallas,Cloudy,75,1
14,2014,Dallas,Cloudy,74,1
